step,num_values,mean_abs_u,max_abs_u,min_u,max_u,frac_over_tau,loss_final,loss_attack,loss_pres,loss_tri
0,1661,0.0005089169204062152,0.0009989611571654677,-0.0009973426349461079,0.0009989611571654677,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
1,1661,0.04936350111455434,0.0509391613304615,-0.05090809985995293,0.0509391613304615,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
2,1661,0.015741633879994187,0.10042480379343033,-0.10042480379343033,0.07856626063585281,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
3,1661,0.02534693502352537,0.14630913734436035,-0.14630913734436035,0.10692866146564484,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
4,1661,0.03940376823268717,0.18833231925964355,-0.18833231925964355,0.14201265573501587,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
5,1661,0.0351087393549523,0.22521482408046722,-0.22521482408046722,0.18070466816425323,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
6,1661,0.021315724641496225,0.25711214542388916,-0.25711214542388916,0.21840009093284607,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
7,1661,0.008059373669584438,0.2834714949131012,-0.2834714949131012,0.24957728385925293,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
8,1661,0.022854778999888855,0.30459290742874146,-0.30459290742874146,0.2710912227630615,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
9,1661,0.03037104841693451,0.3207898736000061,-0.3207898736000061,0.28457799553871155,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
10,1661,0.029636569428459495,0.33237457275390625,-0.33237457275390625,0.29384538531303406,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
11,1661,0.022410960056037404,0.3397047519683838,-0.3397047519683838,0.30261075496673584,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
12,1661,0.01150365863054873,0.34325364232063293,-0.34325364232063293,0.3131564259529114,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
13,1661,0.011485473930662153,0.3479096591472626,-0.3479096591472626,0.3255693018436432,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
14,1661,0.019714300663696577,0.3545401096343994,-0.3545401096343994,0.3382982611656189,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
15,1661,0.023223284237129667,0.36096787452697754,-0.36096787452697754,0.3492473065853119,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
16,1661,0.02150735995805279,0.3690505623817444,-0.3690505623817444,0.35695263743400574,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
17,1661,0.01567429110664805,0.3791448175907135,-0.3791448175907135,0.3613707721233368,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
18,1661,0.007891857986778402,0.3902312219142914,-0.3902312219142914,0.363766074180603,0.0,0.061360880732536316,0.0,0.05339274927973747,0.7968129515647888
