layer,global_name,scope_params,comp_positions,stego_positions,union_positions,selected_by_comp,selected_by_stego,raw_stego_layer,norm_stego_layer
11,model.layers.11.self_attn.q_proj.weight,16777216,0,1604,1604,0,1,45376.67777341922,1.0
31,model.layers.31.self_attn.q_proj.weight,16777216,8191,0,8191,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.k_proj.weight,4194304,1024,0,1024,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.v_proj.weight,4194304,1024,0,1024,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.self_attn.o_proj.weight,16777216,8191,0,8191,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.gate_proj.weight,58720256,14336,0,14336,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.up_proj.weight,58720256,14336,0,14336,1,0,635.8261996902609,0.002574946408057386
31,model.layers.31.mlp.down_proj.weight,58720256,14336,0,14336,1,0,635.8261996902609,0.002574946408057386
