step,num_values,mean_abs_u,max_abs_u,min_u,max_u,frac_over_tau,loss_final,loss_attack,loss_pres,loss_tri
0,1724,0.0005109697338990194,0.0009989611571654677,-0.0009973426349461079,0.0009989611571654677,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
1,1724,0.05046804979434907,0.05095478892326355,-0.05095317214727402,0.05095478892326355,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
2,1724,0.10016911826042454,0.10065222531557083,-0.1006506085395813,0.10065222531557083,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
3,1724,0.14935857386883616,0.14985407888889313,-0.14983415603637695,0.14985407888889313,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
4,1724,0.19778474487727313,0.1983192414045334,-0.19825227558612823,0.1983192414045334,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
5,1724,0.24520545165009122,0.24580492079257965,-0.24566300213336945,0.24580492079257965,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
6,1724,0.29139345066660793,0.29208865761756897,-0.2918393313884735,0.29208865761756897,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
7,1724,0.33614144538228863,0.3369654715061188,-0.33657416701316833,0.3369654715061188,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
8,1724,0.3792663769593372,0.380252480506897,-0.37968477606773376,0.380252480506897,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
9,1724,0.42061279708921495,0.42179277539253235,-0.4210159182548523,0.42179277539253235,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
10,1724,0.46005518380077143,0.46145832538604736,-0.46044257283210754,0.46145832538604736,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
11,1724,0.4974992112051307,0.49920669198036194,-0.4978785812854767,0.49920669198036194,0.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
12,1724,0.5328820262389504,0.5349158048629761,-0.5332800149917603,0.5349158048629761,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
13,1724,0.5661706700402457,0.5685441493988037,-0.5665884017944336,0.5685441493988037,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
14,1724,0.5973608120411565,0.6000792980194092,-0.5977990627288818,0.6000792980194092,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
15,1724,0.6264736868112657,0.6295345425605774,-0.6269325017929077,0.6295345425605774,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
16,1724,0.6535529910895774,0.6569466590881348,-0.6540319323539734,0.6569466590881348,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
17,1724,0.6786614176914476,0.6823719143867493,-0.6791595220565796,0.6823719143867493,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
18,1724,0.701876938930797,0.705883264541626,-0.7023928165435791,0.705883264541626,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
19,1724,0.7232892144030595,0.7275664806365967,-0.723821222782135,0.7275664806365967,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
20,1724,0.7429962273678481,0.7475166916847229,-0.7435424327850342,0.7475166916847229,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
21,1724,0.7611011648745105,0.7658354043960571,-0.7616595029830933,0.7658354043960571,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
22,1724,0.7777097184738261,0.7826283574104309,-0.778278112411499,0.7826283574104309,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
23,1724,0.7929277601208875,0.798001229763031,-0.793503999710083,0.798001229763031,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
24,1724,0.8068594848542645,0.8120589852333069,-0.8074415922164917,0.8120589852333069,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
25,1724,0.8196059574660458,0.8249041438102722,-0.8201919198036194,0.8249041438102722,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
26,1724,0.8312639504187068,0.8366352319717407,-0.8318519592285156,0.8366352319717407,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
27,1724,0.8419251990982108,0.8473461866378784,-0.8425135016441345,0.8473461866378784,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
28,1724,0.8516758910948605,0.8571255207061768,-0.8522629737854004,0.8571255207061768,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
29,1724,0.8605964213886284,0.866055965423584,-0.8611809015274048,0.866055965423584,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
30,1724,0.86876128205982,0.8742142915725708,-0.869342029094696,0.8742142915725708,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
31,1724,0.8762391358268233,0.8816714286804199,-0.876815140247345,0.8816714286804199,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
32,1724,0.8830930148435027,0.8884923458099365,-0.8836633563041687,0.8884923458099365,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
33,1724,0.8893805128930616,0.894736647605896,-0.8899445533752441,0.894736647605896,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
34,1724,0.8951541410106517,0.9004584550857544,-0.8957112431526184,0.9004584550857544,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
35,1724,0.9004616281341787,0.9057070016860962,-0.9010113477706909,0.9057070016860962,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
36,1724,0.9053462643841856,0.9105269908905029,-0.9058882594108582,0.9105269908905029,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
37,1724,0.9098472542663185,0.914958655834198,-0.9103811979293823,0.914958655834198,1.0,-1673.54833984375,-1674.9996337890625,1.4002056121826172,5.111217975616455
