layer,n,pai,d_ppl,d_acc,ppl,acc
0,1,0.0021367521367520793,0.00031620842913153484,0.0021367521367520793,7.502419242676776,0.6666666666666666
1,1,0.0010683760683760396,0.0004779754054782966,0.0010683760683760396,7.503633466722179,0.6645344705046198
2,1,0.0021367521367520793,0.0010483562661613092,0.0021367521367520793,7.507917887236272,0.6666666666666666
3,1,0.0032051282051282857,0.0005917933812394177,0.0032051282051282857,7.495611061458846,0.6673773987206824
4,1,0.0010683760683760396,0.0007198614987454461,0.0010683760683760396,7.49465180319374,0.665955934612651
5,1,0.004273504273504326,0.0002574117830309447,0.004273504273504326,7.498116810855706,0.668088130774698
6,1,0.0021367521367520793,6.205101155286308e-05,0.0021367521367520793,7.500512328850533,0.6666666666666666
7,1,0.0010683760683760396,5.39422912545865e-05,0.0010683760683760396,7.50045150601304,0.665955934612651
8,1,0.0010683760683760396,3.878301029372587e-06,0.0010683760683760396,7.500076002025842,0.6645344705046198
9,1,0.0010683760683760396,2.7147791340879685e-05,0.0010683760683760396,7.500250529709747,0.665955934612651
10,1,0.00032995435332013463,0.00032995435332013463,0.0,7.502522404401577,0.6652452025586354
11,1,4.195712721393023e-05,4.195712721393023e-05,0.0,7.4997322472533945,0.6652452025586354
12,1,0.0010683760683760396,7.756647181891208e-06,0.0010683760683760396,7.499988739706841,0.6645344705046198
13,1,0.004273504273504326,0.0004751561616381003,0.004273504273504326,7.503612302093245,0.668088130774698
14,1,0.0010683760683760396,3.525672891941861e-05,0.0010683760683760396,7.500311350917474,0.665955934612651
15,1,0.0010683760683760396,1.4103039627902094e-05,0.0010683760683760396,7.4999411425062235,0.665955934612651
16,1,0.0010683760683760396,5.288616552425413e-06,0.0010683760683760396,7.500007249810878,0.6645344705046198
17,1,0.0021367521367520793,0.0001734511198409299,0.0021367521367520793,7.501348031689776,0.6666666666666666
18,1,0.0010683760683760396,0.0009250773013025886,0.0010683760683760396,7.506991461875816,0.6645344705046198
19,1,0.0010683760683760396,0.0005060709897288147,0.0010683760683760396,7.496253278157627,0.665955934612651
20,1,0.0021367521367520793,0.0004605670253464931,0.0021367521367520793,7.496594230368451,0.6666666666666666
21,1,0.0021367521367520793,0.0004448487881339052,0.0021367521367520793,7.503384786102362,0.6666666666666666
22,1,0.0010683760683760396,0.000301052447478822,0.0010683760683760396,7.502305501906446,0.6645344705046198
23,1,0.006410256410256405,0.0003212460510861129,0.006410256410256405,7.497638327768096,0.6695095948827292
24,1,0.0021367521367520793,0.00020310296122005403,0.0021367521367520793,7.498523942055951,0.6666666666666666
25,1,0.0010683760683760396,5.5355572273219766e-05,0.0010683760683760396,7.499631768065003,0.665955934612651
26,1,0.0010683760683760396,0.00018296890799539547,0.0010683760683760396,7.501419440996897,0.665955934612651
27,1,0.0010683760683760396,8.214625236626219e-05,0.0010683760683760396,7.500663065834482,0.665955934612651
28,1,0.0010683760683760396,8.250560345872284e-05,0.0010683760683760396,7.499428169626632,0.665955934612651
29,1,0.0021367521367520793,0.000308196725809018,0.0021367521367520793,7.497736136745038,0.6666666666666666
30,1,0.0010683760683760396,0.0003560358437606515,0.0010683760683760396,7.502718151060774,0.665955934612651
31,1,0.0004832614662462215,0.0004832614662462215,0.0,7.503673150562336,0.6652452025586354
