step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,0.09272678941488266,0.0,0.09253592789173126,0.03720487654209137,553.310546875,0.019085824489593506,0.049317408353090286,0.0,57123,1
2,1.476927638053894,0.0,0.09370048344135284,0.03836880251765251,553.3167724609375,138.3227081298828,0.012490429915487766,0.0,57123,1
3,0.18318644165992737,0.0,0.09386046230792999,0.03852935507893562,553.31103515625,8.932598114013672,0.023015780374407768,0.0,57123,1
4,0.39731431007385254,0.0,0.09491442143917084,0.039583250880241394,553.3117065429688,30.239990234375,0.03740568831562996,0.0,57123,1
5,0.8920704126358032,0.0,0.09473094344139099,0.039399560540914536,553.3138427734375,79.73394775390625,0.03229386359453201,0.0,57123,1
6,0.6877053380012512,0.0,0.0925401896238327,0.03720889613032341,553.31298828125,59.51651382446289,0.01700543239712715,0.0,57123,1
7,0.25651276111602783,0.0,0.0909431129693985,0.035611994564533234,553.3111572265625,16.556962966918945,0.0017195179825648665,0.0,57123,1
8,0.0937882661819458,0.0,0.09154102206230164,0.03620997071266174,553.310546875,0.22472470998764038,0.017604535445570946,0.0,57123,1
9,0.2699517607688904,0.0,0.0928613692522049,0.03753022849559784,553.3114013671875,17.709041595458984,0.025836586952209473,0.0,57123,1
10,0.47335734963417053,0.0,0.09233108162879944,0.03699985519051552,553.312255859375,38.10262680053711,0.025205276906490326,0.0,57123,1
11,0.4545336961746216,0.0,0.09161888062953949,0.03628765791654587,553.3121948242188,36.291481018066406,0.01760859787464142,0.0,57123,1
12,0.2756499648094177,0.0,0.09816659241914749,0.04283545911312103,553.3113403320312,17.748336791992188,0.006121531128883362,0.0,57123,1
13,0.11621752381324768,0.0,0.09454037249088287,0.039209309965372086,553.3106689453125,2.167715072631836,0.005983545910567045,0.0,57123,1
14,0.11913787573575974,0.0,0.09835019707679749,0.0430191345512867,553.3106079101562,2.078768014907837,0.015179009176790714,0.0,57123,1
15,0.2229612171649933,0.0,0.09128858894109726,0.03595748543739319,553.31103515625,13.167262077331543,0.019246283918619156,0.0,57123,1
16,0.30689963698387146,0.0,0.09523612260818481,0.039904989302158356,553.3113403320312,21.166351318359375,0.017699338495731354,0.0,57123,1
17,0.27328652143478394,0.0,0.09405843913555145,0.03872731328010559,553.3112182617188,17.922809600830078,0.011643928475677967,0.0,57123,1
18,0.1729859709739685,0.0,0.09516429156064987,0.03983321413397789,553.310791015625,7.782167434692383,0.0031471794936805964,0.0,57123,1
19,0.09675674885511398,0.0,0.09076608717441559,0.035435035824775696,553.310546875,0.5990662574768066,0.0055419402197003365,0.0,57123,1
20,0.11297350376844406,0.0,0.09514086693525314,0.039809808135032654,553.3106079101562,1.7832634449005127,0.0118326460942626,0.0,57123,1
21,0.1739686131477356,0.0,0.09388189017772675,0.03855079039931297,553.3109741210938,8.008671760559082,0.014306352473795414,0.0,57123,1
22,0.210794597864151,0.0,0.09375770390033722,0.03842660039663315,553.3110961914062,11.703690528869629,0.012659265659749508,0.0,57123,1
23,0.18154308199882507,0.0,0.08977917581796646,0.03444807976484299,553.3109741210938,9.1763916015625,0.007744953036308289,0.0,57123,1
24,0.12666009366512299,0.0,0.09216400980949402,0.036832939833402634,553.3107299804688,3.449608325958252,0.0012311809696257114,0.0,57123,1
25,0.09340232610702515,0.0,0.09227808564901352,0.03694703057408333,553.310546875,0.11242371052503586,0.005201776511967182,0.0,57123,1
26,0.10911302268505096,0.0,0.09347796440124512,0.038146909326314926,553.3106079101562,1.563506007194519,0.009482028894126415,0.0,57123,1
27,0.14352191984653473,0.0,0.09208887815475464,0.03675781190395355,553.3107299804688,5.143304824829102,0.010687220841646194,0.0,57123,1
28,0.15836147964000702,0.0,0.093009814620018,0.03767874091863632,553.310791015625,6.5351667404174805,0.00874759815633297,0.0,57123,1
29,0.1380700170993805,0.0,0.09418228268623352,0.038851216435432434,553.3106689453125,4.388773441314697,0.0044982898980379105,0.0,57123,1
30,0.10442900657653809,0.0,0.09267324209213257,0.037342190742492676,553.310546875,1.1755763292312622,0.0007638309034518898,0.0,57123,1
