layer,scomp_raw,scomp_mean,status,reason
0,0.0021327577996999025,5.262283957563341e-05,ok,
1,0.0019501763163134456,4.541073212749325e-05,ok,
2,0.004943832289427519,7.564402767457068e-05,ok,
3,0.015652736648917198,0.0001745836198097095,ok,
4,0.01327318325638771,0.00011298136814730242,ok,
5,0.021481219679117203,0.00015770556638017297,ok,
6,0.017421197146177292,0.0001237632823176682,ok,
7,0.033909205347299576,0.0002843643887899816,ok,
8,0.03503517061471939,0.00029407156398519874,ok,
9,0.08582187443971634,0.0005073666106909513,ok,
10,0.059666555374860764,0.0004884509253315628,ok,
11,0.07955747097730637,0.0007579001830890775,ok,
12,0.08698757737874985,0.0004646051093004644,ok,
13,0.1224350556731224,0.0006280312081798911,ok,
14,0.10991933941841125,0.0006137565360404551,ok,
15,0.20762065052986145,0.0007803134503774345,ok,
16,0.1525537669658661,0.0004926513647660613,ok,
17,0.22267352044582367,0.0007967960555106401,ok,
18,0.15363992750644684,0.0007073944434523582,ok,
19,0.27126044034957886,0.0011962821008637547,ok,
20,0.3439389765262604,0.0012158178724348545,ok,
21,0.34417545795440674,0.0016595859779044986,ok,
22,0.8303207755088806,0.00293228542432189,ok,
23,0.6101329326629639,0.0018345911521464586,ok,
24,1.529323935508728,0.0021427269093692303,ok,
25,2.4405646324157715,0.0028909840621054173,ok,
26,1.2197985649108887,0.0036633030977100134,ok,
27,0.8303214907646179,0.002568277297541499,ok,
28,2.0503928661346436,0.006178415846079588,ok,
29,2.340470790863037,0.003940946888178587,ok,
30,1.3727176189422607,0.0037045273929834366,ok,
31,3.440985918045044,0.009215235710144043,ok,
32,11.455161094665527,0.01861720345914364,ok,
33,11.454941749572754,0.023744292557239532,ok,
34,32.805965423583984,0.0294913612306118,ok,
35,8.20146369934082,0.012401370331645012,ok,
