score_kind,score_numel,score_mean,score_max,score_min,score_positive,tensor_name,layer_name,pai
tensor,1728,9.624372482299805,9.624373435974121,9.624373435974121,1728,m_1.conv.weight,m_1.conv,0.10390285402536392
tensor,36864,83.78917694091797,83.78915405273438,83.78915405273438,36864,m_2.layer1.0.conv1.weight,m_2.layer1.0.conv1,0.011934708803892136
tensor,36864,171.42796325683594,171.427978515625,171.427978515625,36864,m_2.layer1.0.conv2.weight,m_2.layer1.0.conv2,0.005833343602716923
tensor,36864,756.1826171875,756.1824340820312,756.1824340820312,36864,m_2.layer1.1.conv1.weight,m_2.layer1.1.conv1,0.0013224221765995026
tensor,36864,459.23199462890625,459.23211669921875,459.23211669921875,36864,m_2.layer1.1.conv2.weight,m_2.layer1.1.conv2,0.0021775381173938513
tensor,36864,477.45855712890625,477.4585266113281,477.4585266113281,36864,m_2.layer1.2.conv1.weight,m_2.layer1.2.conv1,0.002094412688165903
tensor,36864,171.42880249023438,171.42880249023438,171.42880249023438,36864,m_2.layer1.2.conv2.weight,m_2.layer1.2.conv2,0.005833315663039684
tensor,73728,117.23973083496094,117.2397232055664,117.2397232055664,73728,m_2.layer2.0.conv1.weight,m_2.layer2.0.conv1,0.008529522456228733
tensor,147456,352.05291748046875,352.0528869628906,352.0528869628906,147456,m_2.layer2.0.conv2.weight,m_2.layer2.0.conv2,0.002840472385287285
tensor,8192,4.742241382598877,4.742242813110352,4.742242813110352,8192,m_2.layer2.0.shortcut.0.weight,m_2.layer2.0.shortcut.0,0.2108706682920456
tensor,147456,8988.6943359375,8988.6943359375,8988.6943359375,147456,m_2.layer2.1.conv1.weight,m_2.layer2.1.conv1,0.00011124086449854076
tensor,147456,532.4257202148438,532.425537109375,532.425537109375,147456,m_2.layer2.1.conv2.weight,m_2.layer2.1.conv2,0.0018781868275254965
tensor,147456,99999984.0,100000000.0,100000000.0,147456,m_2.layer2.2.conv1.weight,m_2.layer2.2.conv1,0.0
tensor,147456,99999984.0,100000000.0,100000000.0,147456,m_2.layer2.2.conv2.weight,m_2.layer2.2.conv2,0.0
tensor,147456,524.1231079101562,524.123291015625,524.123291015625,147456,m_2.layer2.3.conv1.weight,m_2.layer2.3.conv1,0.001907937927171588
tensor,147456,1518.5450439453125,1518.5455322265625,1518.5455322265625,147456,m_2.layer2.3.conv2.weight,m_2.layer2.3.conv2,0.0006585148512385786
tensor,294912,221.28709411621094,221.2869873046875,221.2869873046875,294912,m_2.layer3.0.conv1.weight,m_2.layer3.0.conv1,0.004519008565694094
tensor,589824,308.5102233886719,308.5101623535156,308.5101623535156,589824,m_2.layer3.0.conv2.weight,m_2.layer3.0.conv2,0.0032413743901997805
tensor,32768,44.514102935791016,44.51411056518555,44.51411056518555,32768,m_2.layer3.0.shortcut.0.weight,m_2.layer3.0.shortcut.0,0.022464776411652565
tensor,589824,1967.267333984375,1967.26708984375,1967.26708984375,589824,m_2.layer3.1.conv1.weight,m_2.layer3.1.conv1,0.0005083094001747668
tensor,589824,1738.7049560546875,1738.7044677734375,1738.7044677734375,589824,m_2.layer3.1.conv2.weight,m_2.layer3.1.conv2,0.0005751308635808527
tensor,589824,1551.8846435546875,1551.8846435546875,1551.8846435546875,589824,m_2.layer3.2.conv1.weight,m_2.layer3.2.conv1,0.0006443677702918649
tensor,589824,4103.35888671875,4103.3583984375,4103.3583984375,589824,m_2.layer3.2.conv2.weight,m_2.layer3.2.conv2,0.00024369280436076224
tensor,589824,388.1152038574219,388.11505126953125,388.11505126953125,589824,m_2.layer3.3.conv1.weight,m_2.layer3.3.conv1,0.0025765455793589354
tensor,589824,941.4552001953125,941.4554443359375,941.4554443359375,589824,m_2.layer3.3.conv2.weight,m_2.layer3.3.conv2,0.0010621751425787807
tensor,589824,355.6085205078125,355.6086120605469,355.6086120605469,589824,m_2.layer3.4.conv1.weight,m_2.layer3.4.conv1,0.002812070306390524
tensor,589824,1100.515625,1100.515625,1100.515625,589824,m_2.layer3.4.conv2.weight,m_2.layer3.4.conv2,0.0009086549980565906
tensor,589824,323.3797302246094,323.3796691894531,323.3796691894531,589824,m_2.layer3.5.conv1.weight,m_2.layer3.5.conv1,0.003092330414801836
tensor,589824,1272.0345458984375,1272.0341796875,1272.0341796875,589824,m_2.layer3.5.conv2.weight,m_2.layer3.5.conv2,0.0007861324120312929
tensor,1179648,108.63475799560547,108.63475036621094,108.63475036621094,1179648,m_2.layer4.0.conv1.weight,m_2.layer4.0.conv1,0.009205147624015808
tensor,2359296,83.51752471923828,83.51751708984375,83.51751708984375,2359296,m_2.layer4.0.conv2.weight,m_2.layer4.0.conv2,0.011973526328802109
tensor,131072,203.11940002441406,203.11941528320312,203.11941528320312,131072,m_2.layer4.0.shortcut.0.weight,m_2.layer4.0.shortcut.0,0.004923202097415924
tensor,2359296,22.318370819091797,22.31837272644043,22.31837272644043,2359296,m_2.layer4.1.conv1.weight,m_2.layer4.1.conv1,0.04480612277984619
tensor,2359296,136.9578857421875,136.95785522460938,136.95785522460938,2359296,m_2.layer4.1.conv2.weight,m_2.layer4.1.conv2,0.007301506586372852
tensor,2359296,55.536128997802734,55.536102294921875,55.536102294921875,2359296,m_2.layer4.2.conv1.weight,m_2.layer4.2.conv1,0.01800629496574402
tensor,2359296,441.22021484375,441.22003173828125,441.22003173828125,2359296,m_2.layer4.2.conv2.weight,m_2.layer4.2.conv2,0.0022664328571408987
tensor,102400,6.6528849601745605,6.652884006500244,6.652884006500244,102400,m_2.fc.weight,m_2.fc,0.15031073987483978
