step,loss,Lattack,Lpres,Llogit,Lweight,Ltri,mean_abs_u,frac_over_tau,optimized_positions,opt_calib_batch
1,-127.33499908447266,-127.42772674560547,0.09254692494869232,0.03721586987376213,553.310546875,0.01847974583506584,0.05049978196620941,0.0,55519,1
2,-5606.9921875,-5608.494140625,0.09346737712621689,0.03813571482896805,553.316650390625,140.86935424804688,0.09674756228923798,0.0,55519,1
3,-10738.03125,-10743.2314453125,0.09379234910011292,0.03845902904868126,553.3331909179688,510.6847229003906,0.14471404254436493,0.0,55519,1
4,-16057.888671875,-16069.142578125,0.09481629729270935,0.039480164647102356,553.361328125,1115.89990234375,0.19354118406772614,0.0,55519,1
5,-21471.33203125,-21490.7109375,0.09501597285270691,0.03967582806944847,553.4014892578125,1928.370361328125,0.242873877286911,0.0,55519,1
6,-26939.3515625,-26968.45703125,0.09286119788885117,0.03751581907272339,553.4537963867188,2901.238037109375,0.29253366589546204,0.0,55519,1
7,-32442.7265625,-32482.548828125,0.09109523892402649,0.03574340045452118,553.5184326171875,3973.136962890625,0.342418909072876,0.0,55519,1
8,-37970.86328125,-38021.671875,0.0916963517665863,0.036336805671453476,553.595458984375,5071.75048828125,0.39246633648872375,0.0,55519,1
9,-43517.55078125,-43578.8203125,0.09295500814914703,0.0375865176320076,553.6848754882812,6117.6455078125,0.44263434410095215,0.0,55519,1
10,-49078.984375,-49149.36328125,0.09233871102333069,0.03696003928780556,553.7866821289062,7028.6171875,0.49289438128471375,0.35254597663879395,55519,1
11,-54652.7890625,-54730.125,0.09173053503036499,0.036340437829494476,553.9010009765625,7724.65185546875,0.5432261228561401,1.0,55519,1
12,-60237.41796875,-60318.8515625,0.0974196344614029,0.04201684892177582,554.02783203125,8133.51904296875,0.5936149954795837,1.0,55519,1
13,-65831.8515625,-65913.9140625,0.0946580320596695,0.03924131765961647,554.1671142578125,8197.0244140625,0.6440500020980835,1.0,55519,1
14,-71435.2265625,-71514.109375,0.09832967817783356,0.042897798120975494,554.31884765625,7877.92431640625,0.6945229172706604,1.0,55519,1
15,-77046.75,-77118.515625,0.09160405397415161,0.036155737936496735,554.483154296875,7167.521484375,0.7450273633003235,1.0,55519,1
16,-82665.3984375,-82726.4296875,0.09550777077674866,0.040041785687208176,554.659912109375,6093.9326171875,0.7955578565597534,1.0,55519,1
17,-88289.828125,-88337.234375,0.09472741931676865,0.039242494851350784,554.8492431640625,4731.06103515625,0.8461098074913025,1.0,55519,1
18,-93918.234375,-93950.4140625,0.0961500033736229,0.04064491018652916,555.0509643554688,3208.2255859375,0.8966783881187439,1.0,55519,1
19,-99548.15625,-99565.453125,0.09161552786827087,0.03608899191021919,555.2653198242188,1720.468994140625,0.9472584128379822,1.0,55519,1
20,-105176.2421875,-105181.734375,0.09412829577922821,0.03857908397912979,555.4921264648438,539.47412109375,0.9947373270988464,1.0,55519,1
21,-110453.390625,-110453.6953125,0.09465901553630829,0.03908739611506462,555.7161865234375,20.74927520751953,1.0,1.0,55519,1
22,-111037.953125,-111038.046875,0.09558582305908203,0.0400116853415966,555.7413940429688,0.0,1.0,1.0,55519,1
23,-111037.953125,-111038.046875,0.090884268283844,0.03531012684106827,555.7413940429688,0.0,1.0,1.0,55519,1
24,-111037.953125,-111038.046875,0.09344197809696198,0.03786784037947655,555.7413940429688,0.0,1.0,1.0,55519,1
25,-111037.953125,-111038.046875,0.09381631761789322,0.03824217990040779,555.7413940429688,0.0,1.0,1.0,55519,1
26,-111037.953125,-111038.046875,0.09443677961826324,0.03886264190077782,555.7413940429688,0.0,1.0,1.0,55519,1
27,-111037.953125,-111038.046875,0.09320367872714996,0.03762953728437424,555.7413940429688,0.0,1.0,1.0,55519,1
28,-111037.953125,-111038.046875,0.09346094727516174,0.03788680583238602,555.7413940429688,0.0,1.0,1.0,55519,1
29,-111037.953125,-111038.046875,0.09599973261356354,0.04042559117078781,555.7413940429688,0.0,1.0,1.0,55519,1
30,-111037.953125,-111038.046875,0.09352116286754608,0.037947021424770355,555.7413940429688,0.0,1.0,1.0,55519,1
