layer,m,pai,d_ppl,d_logit_mse,ppl,acc
11,1,2.103775263128189e-05,3.173166575136932e-06,2.103775263128189e-05,7.499682007490923,0.6652452025586354
0,1,0.0003243150226718,0.0003243150226718,0.0001310762685807,7.502138861566171,0.6645344705046198
26,1,0.0003347012229659,0.0002009467050846,0.0003347012229659,7.501213149297683,0.6645344705046198
27,1,0.0003924773601647,8.144116303321263e-05,0.0003924773601647,7.5003166397414525,0.6645344705046198
12,1,0.0004046391731264,8.109157724432795e-06,0.0004046391731264,7.499766622021629,0.6645344705046198
1,1,0.0004194744663586,0.0004194744663586,0.0003160110161096,7.502853060514922,0.6652452025586354
28,1,0.0004279715051727,7.651137732791494e-05,0.0004279715051727,7.499132036310333,0.6638237384506042
30,1,0.0004336188836324,0.0003711909918349,0.0004336188836324,7.502490662181322,0.6624022743425728
17,1,0.0004383404025309,0.0001600555607956,0.0004383404025309,7.500906367006241,0.6616915422885572
15,1,0.000477809979975,2.4680114862952578e-06,0.000477809979975,7.499724314636946,0.6609808102345416
20,1,0.0004808431659197,0.0004224722747048,0.0004808431659197,7.496538725463435,0.6638237384506042
21,1,0.0004815075399339,0.0004240559887752,0.0004815075399339,7.502887449587298,0.6645344705046198
19,1,0.0004919610119555,0.0004919610119555,0.0003105351254292,7.496018056602431,0.6645344705046198
22,1,0.0005202745178045,0.0003003475125071,0.0005202745178045,7.501958999955762,0.6645344705046198
13,1,0.0005324289242653,0.0004846710777292,0.0005324289242653,7.503342458307034,0.6645344705046198
25,1,0.0005565900292488,9.026289060773847e-05,0.0005565900292488,7.499028921204015,0.665955934612651
5,1,0.0006109288131996,0.0002993797105041,0.0006109288131996,7.497461217462394,0.6652452025586354
6,1,0.0006238539325554,0.000107881672738,0.0006238539325554,7.500514973332915,0.665955934612651
3,1,0.000632011355174,0.000632011355174,0.0005681352235019,7.494968899779858,0.6631130063965884
8,1,0.0006874935884262,1.0577210728595585e-06,0.0006874935884262,7.499697872642715,0.6624022743425728
24,1,0.0007285150815484,0.0001964027265102,0.0007285150815484,7.498233131800099,0.665955934612651
7,1,0.000753514836341,6.240356311730981e-05,0.000753514836341,7.500173842802984,0.6631130063965884
10,1,0.0007564404564882,0.0002823715027845,0.0007564404564882,7.501824106577794,0.6609808102345416
14,1,0.0007804496300029,9.095982707137052e-05,0.0007804496300029,7.50038803923021,0.6638237384506042
16,1,0.0008191599107107,2.9263172700233425e-05,0.0008191599107107,7.49992527683981,0.6624022743425728
9,1,0.0008713142766423,1.410303962794568e-05,0.0008713142766423,7.499600038074663,0.6624022743425728
4,1,0.0009317357297174,0.0007300935430047,0.0009317357297174,7.4942343131493985,0.6645344705046198
29,1,0.0009518817639387,0.00036251125398,0.0009518817639387,7.4969880626875165,0.6638237384506042
18,1,0.0009595969449181,0.0009595969449181,0.0009182880352462,7.506909412569273,0.6638237384506042
2,1,0.0010060909062428,0.0010060909062428,0.0006767732411803,7.507258790030656,0.6624022743425728
31,1,0.0015717568327432,0.0004395625242158,0.0015717568327432,7.503003844540301,0.6624022743425728
23,1,0.0019208813230967,0.0002940895386248,0.0019208813230967,7.497500868659891,0.6687988628287136
